price,total_revenue
5.0,2211380.529646063
6.875,2969033.126465434
8.75,3659670.3201848594
10.625,4211776.642736643
12.5,4516261.85071253
14.375,4592401.177083004
16.25,4540221.386718394
18.125,4416850.592508493
20.0,4259436.649527094
21.875,4061223.372375901
23.75,3811696.5187376584
25.625,3498470.8561129463
27.5,3102122.2717268025
29.375,2727046.180394855
31.25,2345788.8695137757
33.125,1951699.391808825
35.0,1599165.1761041505
36.875,1224091.410203348
38.75,787813.7115619233
40.625,441024.6458504412
42.5,191510.31468735554
44.375,76363.01631751984
46.25,46413.573014778776
48.125,42360.315824649886
50.0,42946.99894762689
